objectID,title,artist,medium,department,culture,period,classification,imageURL
55073,Rice Plant and Butter-Burs,Kubo Shunman,Woodblock print (surimono); ink and color on paper,Asian Art,Japan,Edo period (1615–1868),Prints,https://images.metmuseum.org/CRDImages/as/original/DP138376.jpg
729938,"Le Vrai et le Faux Chic, Musée des Erreurs, Page 12",Georges Goursat [Sem],Color lithograph,Drawings and Prints,NA,NA,Prints,NA
812006,"The Departure from the Coast, or the End of the Farce of Invasion",Thomas Rowlandson,Hand-colored etching,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP881728.jpg
172034,Coat,Charles James,wool,Costume Institute,American,NA,NA,NA
321866,"Cuneiform tablet: fragment, content uncertain",NA,Clay,Ancient Near Eastern Art,NA,NA,NA,https://images.metmuseum.org/CRDImages/an/original/vsz86.11.493b.JPG
739938,Terracotta fragment of a skyphos (deep drinking cup),NA,Terracotta,Greek and Roman Art,"Greek, Attic",Classical,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB10837_1_ff.jpg
317560,Onyx Bowl,NA,Onyx marble (tecalli),The Michael C. Rockefeller Wing,Mexican,NA,Stone-Containers,https://images.metmuseum.org/CRDImages/ao/original/hz1994_35_727.jpg
241587,Terracotta oil lamp,NA,Terracotta,Greek and Roman Art,Greek or Roman,Late Hellenistic or Early Imperial,Terracottas,https://images.metmuseum.org/CRDImages/gr/original/DP-18844-034.jpg
352778,"La Galatea, poema lirico con l'allegorie dell'Aca'demico Veneto Sconosciuto",Anonymous,NA,Drawings and Prints,NA,NA,Books,NA
202515,Pilgrim's badge,NA,"Champlevé enamel on brass, partly gilt",European Sculpture and Decorative Arts,NA,NA,Enamels,https://images.metmuseum.org/CRDImages/es/original/sf60_179_1.jpg
97091,Afternoon dress,Robert Piguet,wool,Costume Institute,French,NA,NA,NA
778730,Adolphe Menjou from Movie Stars Exhibit Cards series (W401),Exhibit Supply Company,Commercial color photolithograph,Drawings and Prints,NA,NA,Prints,NA
223847,Piece,NA,Cotton,European Sculpture and Decorative Arts,NA,NA,Textiles-Printed,https://images.metmuseum.org/CRDImages/es/original/DP2746.jpg
360684,"Ingolstadt, from ""German Views""",Wenceslaus Hollar,"Etching, only state",Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP823214.jpg
728634,Terracotta fragment of a pelike (jar),NA,Terracotta,Greek and Roman Art,"Greek, Attic",Classical,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB08747_1_ff.jpg
379439,Design for Open Bus or Private Omnibus,"Anonymous, French, 19th century",Hand colored lithograph with gum arabic,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP882030.jpg
189481,Plinth,NA,"Wood, carved and painted",European Sculpture and Decorative Arts,NA,NA,Woodwork-Furniture,https://images.metmuseum.org/CRDImages/es/original/4963.jpg
727913,Grotesque Panel,Jacques Androuet Du Cerceau,Etching,Drawings and Prints,NA,NA,Prints,NA
361033,Arundel Castle,Wenceslaus Hollar,Etching; fourth or fifth state of five,Drawings and Prints,NA,NA,Prints,NA
855355,George Washington,Samuel Putnam Avery Sr.,Wood engraving; proof,Drawings and Prints,NA,NA,Prints,NA
189705,Cup,NA,"Hard-paste porcelain, gilt brass",European Sculpture and Decorative Arts,NA,NA,Ceramics-Porcelain-Export,https://images.metmuseum.org/CRDImages/es/original/DP278959.jpg
346245,Saint Anthony of Padua Healing a Sick Man (recto); Partial Figural Studies Based on the Composition on the Recto (verso),Tiberio Titi,"Pen and light brown ink, over black chalk; some reworking of contours in black chalk(?) (recto); black chalk (verso)",Drawings and Prints,NA,NA,Drawings,https://images.metmuseum.org/CRDImages/dp/original/DP811854.jpg
550396,Plaque From a Foundation Deposit of Ramesses IV,NA,Faience,Egyptian Art,NA,"New Kingdom, Ramesside",NA,NA
291286,"[4 Stereographic Views of Statuary in a Private Conservatory, a Marble Yard, and Garden, New York City]","Various, American",Albumen silver prints,Photographs,NA,NA,Photographs,NA
691823,Terracotta fragment of a kylix (drinking cup),NA,Terracotta,Greek and Roman Art,"Greek, Attic",Archaic,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB03374_1_ff.jpg
414500,"William O'Connor, Oarsman, from World's Champions, Second Series (N43) for Allen & Ginter Cigarettes",Allen & Ginter,Commercial lithograph,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP839331.jpg
702190,"Ignatius Donnelly of Minnesota, from the Presidential Possibilities series (N124) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco","W. Duke, Sons & Co.",Commercial color lithograph,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DPB873745.jpg
551136,Outer Coffin of Djedmutesankh,NA,"Wood, paste, paint",Egyptian Art,NA,Third Intermediate Period,NA,NA
814262,Château-Thierry from Frontiers of Freedom Educational Pictures (W608-2),NA,Commercial color photolithograph,Drawings and Prints,NA,NA,Prints,NA
894701,"Key to a print of the Battle of New Orleans, 1815","Anonymous, American, 19th century",Etching and engraving,Drawings and Prints,NA,NA,Prints,NA
904422,"JoJo with Dee, Lisa and some new friends on Prince Street, Little Italy, New York",Susan Meiselas,Gelatin silver print,Photographs,NA,NA,Photographs,NA
678339,Terracotta fragments of kylikes (drinking cups),NA,Terracotta,Greek and Roman Art,"Greek, Attic",Archaic/Classical,Vases,https://images.metmuseum.org/CRDImages/gr/original/DVB01520_1_ff.jpg
68960,Rank Badge with Dragon with Deer Hooves,NA,"Silk, metallic thread",Asian Art,China,Qing dynasty (1644–1911),Textiles-Embroidered,https://images.metmuseum.org/CRDImages/as/original/79835.jpg
563851,Jar Label,NA,"Pottery and ink, paint",Egyptian Art,NA,New Kingdom,NA,NA
468101,Triptych Panel with the Flagellation of Christ,NA,"Painted enamel, copper",Medieval Art,French,NA,Enamels-Painted,https://images.metmuseum.org/CRDImages/md/original/sf45-174-49s1.jpg
366105,Girl Reading,Robert Frederick Blum,Etching (and drypoint?),Drawings and Prints,NA,NA,Prints,NA
60505,Cabinet,Ogawa Haritsu (Ritsuō),Lacquered wood,Asian Art,Japan,NA,Furniture,https://images.metmuseum.org/CRDImages/as/original/29_100_68_99652.jpg
262760,Broadway on a Rainy Day,Edward Anthony,Albumen silver print,Photographs,NA,NA,Photographs,https://images.metmuseum.org/CRDImages/ph/original/DP217241.jpg
242508,Gold spiral,NA,Gold,Greek and Roman Art,Cypriot,Late Bronze Age,Gold and Silver,https://images.metmuseum.org/CRDImages/gr/original/DP121245.jpg
222327,Flounce,NA,Needle lace,European Sculpture and Decorative Arts,NA,NA,Textiles-Laces,https://images.metmuseum.org/CRDImages/es/original/76475.jpg
421398,Hercules Supports the World on Behalf of Atlas from The Labours of Hercules,Cornelis Cort,Engraving,Drawings and Prints,NA,NA,Prints,NA
13345,A Bit of War History: The Contraband,Thomas Waterman Wood,Oil on canvas,The American Wing,American,NA,NA,https://images.metmuseum.org/CRDImages/ad/original/DT2076.jpg
650219,"Bell rubbing with Saint Nicholas, from ""Professorenglocke,"" Church of St. Nicholas, Greifswald, Germany",Rickert de Monkehagen,Charcoal on two sheets of paper,Drawings and Prints,NA,NA,Rubbing,NA
408427,"Tartary, from the Natives in Costume series (N16) for Allen & Ginter Cigarettes Brands",Allen & Ginter,Commercial color lithograph,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP834854.jpg
763971,Bachelor Made from All American Girls series (W424),International Mutoscope Reel Company,Commercial color lithograph,Drawings and Prints,NA,NA,Prints,NA
380246,"Design for Vis-à-vis, no. 653",Brewster & Co.,"Graphite, pen and black ink, watercolor, and gouache",Drawings and Prints,NA,NA,Drawings,https://images.metmuseum.org/CRDImages/dp/original/DP878177.jpg
365871,"The Theater of Marcellus. This building was built by Augustus and dedicated to his nephew Marcellus. (Teatro di Marcello. Questo fu fabricato da Augusto, e dedicato a Marcello suo Nipote)",Giovanni Battista Piranesi,etching,Drawings and Prints,NA,NA,Prints,NA
735959,"A print shop with a printer handing something to a gentleman, from the broadside 'Imprenta de A. Vanegas Arroyo'",José Guadalupe Posada,Zincograph,Drawings and Prints,NA,NA,Prints,https://images.metmuseum.org/CRDImages/dp/original/DP869433.jpg
821048,Dorothy Dalton from Movie Stars Drawings strip cards (W500),NA,Commercial color photolithograph,Drawings and Prints,NA,NA,Prints,NA
734637,Details of Ancient Architectural Elements,Jacques Androuet Du Cerceau,Etching,Drawings and Prints,NA,NA,Books,NA
270242,Willem de Kooning,Arnold Newman,Gelatin silver print,Photographs,NA,NA,Photographs,NA
502693,Sk-A'Na (stopped pipe),NA,wood,Musical Instruments,Native American (Northwest Coast),NA,Aerophone-Whistle Flute-stopped pipe,NA
399757,"Smiling old Man, from The Series of Heads (Raccolta di Teste)",Giovanni Domenico Tiepolo,Etching,Drawings and Prints,NA,NA,Prints,NA
914378,[New York Album: Brick Wall Advertising],Berenice Abbott,Gelatin silver print,Photographs,NA,NA,Photographs,NA
11658,Shifting Shadows,Henry Hobart Nichols,Oil on canvas,The American Wing,American,NA,NA,NA
655180,"Gertie Keith, from the Actresses series (N245) issued by Kinney Brothers to promote Sweet Caporal Cigarettes",Kinney Brothers Tobacco Company,Albumen photograph,Drawings and Prints,NA,NA,Photographs,NA
832519,Logging Team,Sybil Andrews,Color linocut,Drawings and Prints,NA,NA,Prints,NA
36905,"The Third Matsumoto Koshiro in the Role of Matsuomaru in ""Sugawara""",Katsukawa Shunshō　勝川春章,Woodblock print (nishiki-e); ink and color on paper,Asian Art,Japan,Edo period (1615–1868),Prints,https://images.metmuseum.org/CRDImages/as/original/DP132869.jpg
61122,Box,NA,Silver,Asian Art,China,Tang dynasty (618–907),Metalwork,https://images.metmuseum.org/CRDImages/as/original/23_226_2_54397.jpg
502465,Handbell,NA,Brass,Musical Instruments,Russian,NA,Idiophone-Struck-bell-clapper,NA
