,objectID,title,artist,medium,department,culture,period,classification,imageURL,label
95,20101,1741,605,1288,23,492,283,305,5178,15
96,96625,3779,629,1392,9,165,415,321,3093,1
97,84088,4575,605,1392,7,64,258,321,5190,1
98,83905,3952,582,1392,7,492,385,318,2694,26
99,14317,3756,605,1402,7,492,285,321,6644,1
100,8958,215,605,1392,7,383,269,321,3587,1
101,113084,3037,605,1516,23,492,233,324,6611,15
102,111164,1716,605,2131,23,492,1139,391,2837,1
103,14488,597,605,896,23,492,1133,281,6172,26
104,14318,3170,605,1289,23,492,258,254,6512,0
105,14309,928,605,1402,7,492,236,321,3962,1
106,158382,1006,605,1451,23,492,223,323,6165,1
107,50733,1656,605,1519,23,492,1127,324,6278,15
108,14533,1805,605,1518,23,492,1127,324,2601,15
109,182504,4326,605,1287,23,492,218,304,3330,1
110,56905,2663,605,1392,7,291,204,321,3812,1
111,50768,247,605,311,23,492,206,230,3688,26
112,50764,39,605,316,23,492,1122,230,5421,26
113,111478,3023,605,1402,7,291,203,321,6715,1
114,50766,1254,605,131,23,492,197,229,4871,26
115,14523,1439,605,1515,23,492,201,324,3720,15
116,81572,4283,605,1392,7,488,190,321,3398,1
117,73630,2725,605,589,23,492,178,262,4367,1
118,65709,3968,605,1404,7,291,192,321,6292,1
119,214348,4124,1169,1362,23,165,278,336,5342,15
120,195560,146,319,360,22,151,240,328,5489,8
121,125772,3261,777,693,22,492,408,276,2682,15
122,124695,4667,326,369,23,151,465,304,5322,1
123,34111,2302,805,90,1,52,706,228,5660,26
124,30044,3604,676,2315,23,492,384,336,2643,15
125,29577,4101,605,505,23,492,210,256,4120,1
126,79600,4110,373,1392,18,165,349,318,6043,26
127,69738,2445,1067,2318,23,177,353,396,6509,1
128,58990,4382,271,1980,9,492,460,349,4062,3
129,47124,1705,597,694,22,165,335,276,5346,15
130,192898,1275,1045,1136,2,492,389,335,5837,0
131,146043,582,509,693,22,492,452,276,6077,15
132,81574,1718,605,1392,7,291,186,321,6569,1
133,65853,4596,216,1982,23,492,378,372,5988,1
134,61192,3326,260,366,23,151,372,334,6591,26
135,17079,4222,17,367,23,423,290,334,4119,26
136,16066,216,406,366,23,151,365,334,6745,26
137,198627,1091,569,693,22,492,386,328,6659,8
138,94575,3498,1132,475,25,383,476,373,2851,19
139,50735,3573,605,883,23,492,172,281,4239,26
140,18803,3108,231,366,23,151,364,334,3493,26
141,11366,1195,511,693,22,492,411,329,5899,1
142,104916,3141,1154,364,23,151,391,303,6478,1
143,2848,3341,605,1467,23,492,174,324,2818,15
144,845,1537,68,754,6,414,592,315,2527,27
145,807,2634,68,772,6,414,581,325,3858,27
146,109604,1967,68,1179,6,414,770,341,4517,27
147,109509,3191,68,2413,6,419,707,258,5975,6
148,8630,517,68,754,6,414,526,216,6829,27
149,593,2800,68,757,6,414,521,257,5463,27
150,5520,3053,63,1231,4,8,997,321,4232,1
151,5519,3054,63,1231,4,8,997,321,4346,1
152,4705,3190,68,1969,6,251,707,363,4358,26
153,104999,2471,68,1753,6,414,578,311,6661,26
154,61392,3671,68,231,6,414,748,359,5727,26
155,23276,2522,68,1942,6,21,529,314,6647,3
156,23486,3679,68,236,6,414,521,359,4032,26
157,45309,3029,973,508,23,165,286,260,5182,1
158,20684,2849,487,1392,20,383,215,318,6704,26
159,208200,3519,487,1876,23,165,786,356,3090,1
160,140080,3412,487,903,23,165,1123,281,5328,26
161,19737,4150,605,1291,23,492,217,306,4224,26
162,210484,3747,487,992,23,165,215,281,5674,26
163,154121,629,487,1392,20,165,1127,318,2472,26
164,139478,3013,605,2041,23,492,286,378,3203,1
165,136948,3012,605,2041,23,492,286,378,3461,1
166,50722,3014,605,2062,23,492,286,378,3416,1
167,139462,4126,605,2058,23,492,283,378,4542,1
168,73998,4086,605,2025,23,492,286,378,5494,1
169,73927,2253,605,2039,23,492,283,378,3559,1
170,139734,3992,605,2029,23,492,283,378,2760,1
171,139676,3011,605,2038,23,492,283,378,3987,1
172,73924,3611,605,2066,23,492,283,378,3200,1
173,147870,3515,605,2060,23,492,283,378,3481,1
174,147869,3608,605,2039,23,492,283,378,4929,1
175,147867,4146,605,1297,23,492,283,306,4074,26
176,147866,600,605,2053,23,492,283,378,2769,1
177,147865,4623,605,2029,23,492,283,378,4629,1
178,147864,4127,605,2065,23,492,283,378,6188,1
179,147863,2252,605,2055,23,492,283,378,3970,1
180,147862,790,605,2061,23,492,283,378,4897,1
181,147861,1366,605,2055,23,492,283,378,5973,1
182,147860,3327,605,2039,23,492,283,378,2993,1
183,139502,3745,605,2034,23,492,283,378,4763,1
184,139501,3744,605,2037,23,492,283,378,4427,1
185,139477,4204,605,2035,23,492,283,378,4538,1
186,73907,4081,605,2039,23,492,283,378,6312,1
187,73905,2639,605,2039,23,492,283,378,6146,1
188,139498,1452,605,2029,23,492,283,378,2970,1
189,112014,2249,605,2042,23,492,283,378,5863,1
190,73910,3010,605,2073,23,492,283,378,6284,1
191,73880,1451,605,2039,23,492,283,378,3988,1
192,139505,3758,605,2023,23,492,283,378,2828,1
193,139503,2076,605,2036,23,492,283,378,4419,1
194,139499,1453,605,2029,23,492,283,378,6452,1
195,73886,3980,605,2039,23,492,283,378,3983,1
196,139485,2531,605,2043,23,492,278,378,5287,1
197,139474,3518,605,2031,23,492,279,378,6628,1
198,73862,4024,605,2029,23,492,281,378,3973,1
199,93518,3777,605,2029,23,492,278,378,3558,1
200,73870,1426,605,2029,23,492,278,378,2903,1
201,93517,4077,605,2029,23,492,281,378,6617,1
202,73960,3516,605,2038,23,492,278,378,2570,1
203,73871,4094,605,2029,23,492,278,378,2534,1
204,73867,3757,605,2039,23,492,278,378,3510,1
205,73861,3991,605,2029,23,492,281,378,3100,1
206,73858,3986,605,2057,23,492,281,378,5037,1
207,139454,2034,605,2039,23,492,278,378,6586,1
208,73853,4139,605,2039,23,492,278,378,2829,1
209,73850,4129,605,2029,23,492,278,378,6349,1
210,73848,1408,605,2039,23,492,278,378,5354,1
211,139489,4356,605,1258,23,492,278,304,4125,1
212,93516,4075,605,2031,23,492,278,378,3187,1
213,73842,4142,605,2039,23,492,278,378,4773,1
214,73835,4085,605,2029,23,492,278,378,6538,1
215,73834,1659,605,2029,23,492,278,378,3198,1
216,73832,291,605,1261,23,492,278,304,4991,1
217,50661,4039,605,2029,23,492,278,378,4337,1
218,147137,4607,605,2028,23,492,278,378,5762,1
219,139626,4016,605,2022,23,492,269,336,4234,15
220,73821,3742,605,2039,23,492,269,378,4064,1
221,73819,1432,605,2037,23,492,269,378,5723,1
222,73817,40,605,2051,23,492,277,378,5825,1
223,73807,4128,605,2049,23,492,272,378,4832,1
224,73814,4103,605,2052,23,492,272,378,4393,1
225,73804,2120,605,2028,23,492,269,378,2467,1
226,73793,4018,605,2029,23,492,269,378,3322,1
227,50626,2126,605,2039,23,492,269,378,3815,1
228,139448,979,605,2071,23,492,269,378,3307,1
229,139447,3259,605,2039,23,492,269,378,4157,1
230,73796,4019,605,2032,23,492,269,378,3600,1
231,73615,2114,605,1254,23,492,269,304,4602,1
232,73613,2124,605,2039,23,492,269,378,6548,1
233,73398,2115,605,2064,23,492,269,378,4328,1
234,50645,4130,605,2059,23,492,269,378,4220,1
235,50635,4032,605,2059,23,492,269,378,5090,1
236,139446,4071,605,2039,23,492,269,378,3290,1
237,139441,4169,605,2054,23,492,269,378,6774,1
238,73604,2179,605,2039,23,492,269,378,2741,1
239,73602,4073,605,2027,23,492,269,378,3652,1
240,4196,3971,1041,615,23,213,1088,262,5873,1
241,140641,1011,522,633,23,165,269,262,4741,1
242,139442,4344,605,2028,23,492,269,378,2637,1
243,73954,4079,605,2030,23,492,269,378,6358,1
244,73951,4036,605,2040,23,492,269,378,4764,1
245,73755,4078,605,2056,23,492,269,378,2564,1
246,73595,4145,605,2054,23,492,269,378,2444,1
247,50687,1010,605,2050,23,492,269,378,3692,1
248,139476,1255,605,1284,23,492,260,304,3241,1
249,139468,3994,605,1279,23,492,260,304,4580,1
250,139439,2250,605,2028,23,492,259,378,5499,1
251,139435,2685,605,2067,23,492,258,378,6069,1
252,106723,4017,605,1280,23,492,258,304,5362,1
253,73995,35,605,1281,23,492,258,304,4027,1
254,139433,4098,605,2055,23,492,258,378,3070,1
255,139432,992,605,2055,23,492,258,378,4927,1
256,139431,4135,605,2055,23,492,258,378,5612,1
257,139287,4738,605,2020,23,492,258,378,5933,1
258,109177,3179,605,2021,23,492,258,378,5754,1
259,139482,4027,605,2039,23,492,258,378,3674,1
260,139430,4000,605,2029,23,492,258,378,2859,1
261,139429,1626,605,2055,23,492,258,378,5093,1
262,139427,4583,605,2055,23,492,258,378,2834,1
263,73797,3762,605,2070,23,492,257,378,3743,1
264,73733,4084,605,2039,23,492,258,378,5230,1
265,139496,2528,605,2029,23,492,253,378,3774,1
266,139483,2529,605,2026,23,492,253,378,5879,1
267,139467,2134,605,2019,23,492,256,378,4704,1
268,73990,3009,605,2029,23,492,256,378,3324,1
269,73940,2530,605,2038,23,492,253,378,4575,1
270,19803,1252,605,2018,23,492,256,378,4262,1
271,139491,4332,605,2030,23,492,1334,378,5568,1
272,139473,2684,605,2069,23,492,251,378,3944,1
273,139465,2686,605,2032,23,492,1333,378,6692,1
274,139460,2116,605,2032,23,492,1333,378,3665,1
275,50713,1253,605,2068,23,492,251,378,5401,1
276,19920,2527,605,2072,23,492,253,378,5541,1
277,139425,3635,605,2029,23,492,251,378,2835,1
278,139424,933,605,2039,23,492,251,378,2568,1
279,73729,4034,605,2039,23,492,251,378,2620,1
280,139416,2395,605,2029,23,492,246,378,5594,1
281,139415,4157,605,2029,23,492,246,378,5885,1
282,139412,4170,605,2063,23,492,246,378,6271,1
283,139382,1433,605,2042,23,492,246,378,6382,1
284,73716,1639,605,2039,23,492,246,378,6600,1
285,73710,3766,605,2029,23,492,246,378,4485,1
286,139417,4076,605,2039,23,492,244,378,3023,1
287,139411,4026,605,2026,23,492,241,378,2905,1
288,109173,4051,605,2026,23,492,1332,378,5580,1
289,106722,4093,605,2029,23,492,1332,378,3514,1
290,73703,1025,605,1285,23,492,241,304,3249,1
291,73701,802,605,2046,23,492,241,378,3680,1
292,139407,804,605,2024,23,492,241,378,3091,1
293,139406,2238,605,2033,23,492,241,378,2588,1
294,139403,1338,605,2029,23,492,240,378,2659,1
295,73698,1270,605,2039,23,492,241,378,2503,1
296,73690,2248,605,2039,23,492,240,378,5703,1
297,73688,893,605,2029,23,492,240,378,5276,1
298,139377,3166,605,1282,23,492,220,304,4778,1
299,109175,3742,605,1278,23,492,219,304,4539,1
300,62311,4097,605,626,23,492,262,262,2880,1
301,50549,2721,605,1283,23,492,220,304,3669,1
302,148271,4143,605,1298,23,492,217,306,5392,26
303,148270,3990,605,1299,23,492,217,306,6059,26
304,139396,4150,605,1293,23,492,217,306,4449,26
305,139380,4534,605,2047,23,492,220,378,2783,1
306,139379,1627,605,2048,23,492,220,378,3893,1
307,73933,2722,605,2044,23,492,218,378,5015,1
308,139393,3742,605,1257,23,492,217,304,4217,1
309,139289,2662,605,1295,23,492,217,306,3476,26
310,111948,2662,605,1296,23,492,217,306,3287,26
311,109187,3742,605,1256,23,492,217,304,3182,1
312,73930,3759,605,1292,23,492,217,306,6475,26
313,73670,2229,605,1290,23,492,217,306,2595,26
314,193828,157,161,1553,23,492,502,254,2831,0
315,185920,996,600,139,23,49,225,337,3511,15
316,36952,1196,600,613,23,49,241,262,5059,1
317,147877,252,68,250,6,414,861,349,5304,3
318,90316,1730,939,2104,23,165,217,230,6070,26
319,43554,3505,539,1263,23,165,214,304,5161,1
320,14482,1142,605,2045,23,492,170,378,5831,1
321,111809,633,68,280,6,251,688,295,3787,27
322,104998,2151,68,231,6,414,881,298,5338,25
323,52764,3665,68,231,6,414,885,359,6253,26
324,119273,634,68,779,6,251,77,295,6202,27
325,68022,4319,68,738,6,251,525,277,3530,26
326,65555,484,181,725,6,284,1307,213,6017,17
327,54544,2111,68,725,6,469,610,385,5909,4
328,193545,484,68,735,6,414,805,213,2597,17
329,132099,2018,68,735,6,469,597,385,4989,4
330,132084,3603,66,735,6,469,597,385,2457,4
331,117437,372,68,735,6,469,597,255,2797,4
332,62078,2015,66,725,6,469,614,385,3349,4
333,59699,373,68,726,6,469,597,255,4225,4
334,54528,2930,68,725,6,469,597,330,6116,4
335,132098,1478,68,734,6,469,592,385,4824,4
336,67421,2015,181,725,6,284,597,385,6443,4
337,65592,1683,66,725,6,469,614,255,3626,4
338,61983,484,67,725,6,312,615,213,3581,17
339,54592,496,181,725,6,469,614,214,4066,26
340,132093,374,66,725,6,469,581,255,6541,4
341,67428,2058,68,725,6,414,803,385,4649,4
342,65630,484,68,735,6,414,581,213,3503,17
343,61965,2058,68,725,6,17,1305,385,5002,4
344,61955,486,67,725,6,312,527,213,4098,17
345,152017,4494,68,724,6,414,882,385,6365,4
346,96603,373,68,725,6,414,961,255,5020,4
347,65678,484,68,725,6,414,525,213,4504,17
348,65676,484,68,725,6,469,597,213,6264,17
349,62106,484,68,725,6,469,581,213,4952,17
350,27859,2807,786,720,7,492,1176,299,6456,27
351,119252,2058,68,734,6,469,1297,330,5121,4
352,65612,487,68,734,6,469,524,213,5466,17
353,62014,484,68,725,6,469,521,213,5624,17
354,61921,502,68,725,6,414,802,277,3353,26
355,119254,484,68,734,6,469,521,213,4825,17
356,119253,484,68,735,6,469,521,213,4354,17
357,67747,1549,68,725,6,414,521,273,3711,3
358,67628,1531,68,737,6,251,523,273,6370,3
359,49063,484,68,735,6,414,521,213,5282,17
360,532,484,68,734,6,469,521,213,4287,17
361,67840,1550,68,737,6,414,523,273,6531,3
362,67671,1531,68,737,6,414,523,273,4156,3
363,67632,1531,68,737,6,251,523,273,2555,3
364,67614,1531,68,737,6,414,523,273,2966,3
365,67847,1550,68,737,6,414,523,205,3972,3
366,67837,1550,68,737,6,414,523,273,5404,3
367,67825,1550,68,737,6,414,523,273,5584,3
368,67793,1550,68,737,6,414,523,205,5439,3
369,67599,1529,68,737,6,414,1304,273,5103,3
370,67855,1532,63,738,4,145,1303,273,3596,3
371,67597,497,68,737,6,414,800,273,5804,3
372,61926,502,68,737,6,469,799,214,5738,26
373,61910,502,68,728,6,312,881,214,3033,26
374,61889,502,68,728,6,469,1317,214,3257,26
375,67615,1549,68,737,6,142,523,273,5649,3
376,67609,1549,68,737,6,414,523,273,3933,3
377,67581,1549,68,737,6,414,523,273,4402,3
378,67576,1549,68,737,6,414,523,273,2513,3
379,61905,496,68,737,6,251,708,214,5400,26
380,49061,484,68,725,6,469,1297,213,5938,17
381,67446,484,68,725,6,312,799,213,5688,17
382,65606,496,68,729,6,284,1303,214,4216,26
383,61941,484,68,725,6,312,799,213,5575,17
384,49051,92,68,725,6,414,521,241,4021,26
385,43397,92,62,737,6,142,710,241,5424,26
386,132070,1555,63,737,4,145,1303,277,5057,26
387,68016,1447,66,728,6,469,1337,277,2498,26
388,67928,1555,68,737,4,251,799,277,6690,26
389,65656,496,68,729,6,469,1318,214,4423,26
390,65599,496,68,729,6,469,1303,214,2649,26
391,184325,1208,65,736,6,142,862,385,3072,4
392,145225,263,68,754,6,487,577,234,6198,26
393,141663,257,68,92,6,414,575,234,2870,26
394,5721,201,68,1833,6,414,585,234,6197,26
395,5714,259,68,754,6,419,574,234,3940,26
396,5704,265,68,754,6,419,573,234,6240,26
397,5701,155,68,1833,6,419,572,234,4275,26
398,5700,154,68,1833,6,419,571,234,4450,26
399,5681,1114,68,1833,6,419,570,234,5307,26
400,5669,261,68,754,6,419,568,234,2589,26
401,5673,1120,68,1833,6,419,564,234,6176,26
402,5667,261,68,754,6,419,565,234,2950,26
403,5664,278,68,754,6,419,446,234,3533,26
404,5660,272,68,754,6,419,406,234,5550,26
405,5653,262,68,754,6,419,155,234,6130,26
406,182872,276,68,754,6,414,79,234,5159,26
407,5650,267,68,754,6,419,701,234,5430,26
408,5648,277,68,754,6,419,115,234,4208,26
409,5644,280,68,754,6,419,96,234,5142,26
410,5642,258,68,754,6,419,80,234,6811,26
411,5638,279,68,754,6,419,73,234,4507,26
412,182871,266,68,754,6,414,67,234,6471,26
413,10016,1113,68,1833,6,414,930,234,3054,26
414,5635,1112,68,1833,6,419,63,234,5486,26
415,5632,274,68,754,6,419,61,234,2681,26
416,5630,270,68,754,6,419,648,234,2825,26
417,5627,264,68,754,6,419,647,234,4175,26
418,4430,269,68,754,6,419,634,234,2734,26
419,52990,4701,961,2239,23,165,281,396,2854,1
420,16564,523,256,1392,20,165,286,321,4714,1
421,14598,3982,256,1392,20,165,198,321,5038,1
422,110798,3375,1006,1392,20,165,337,318,5886,26
423,81555,2296,1006,1392,20,165,208,321,2892,1
424,25832,2022,1006,1392,20,165,294,318,3555,26
425,186400,338,1006,916,23,165,282,337,2548,15
426,99749,1726,1006,1417,23,165,242,391,4063,1
427,62432,3740,1006,1484,23,165,235,391,4121,1
428,23198,337,1006,1742,23,165,1129,229,3778,26
429,113275,4704,1006,318,23,165,1128,230,4598,26
430,16622,2306,1006,1392,20,165,232,321,5350,1
431,16600,2293,1006,1392,20,165,232,321,2693,1
432,97933,4619,256,1392,20,165,345,321,4566,1
433,16629,1584,1006,1392,20,165,228,321,3506,1
434,16617,888,1006,1392,20,165,229,321,3668,1
435,4887,1977,256,1392,20,165,338,318,2977,26
436,113794,4011,1006,122,23,165,228,242,5783,15
437,16568,4618,256,1392,20,165,320,318,3474,26
438,14630,4522,256,1392,20,165,323,321,4194,1
439,94131,2730,1006,141,23,165,228,324,6354,15
440,16579,4588,256,1392,20,165,306,321,3997,1
441,14655,4325,1006,1392,20,165,228,321,3444,1
442,14634,4588,256,1392,20,165,306,321,6094,1
443,95654,2630,1006,1392,20,165,222,321,3103,1
444,81558,79,1006,1392,20,165,219,321,3308,1
445,16584,1882,256,1392,20,165,305,321,2495,1
446,103139,4624,256,1392,20,165,301,321,4374,1
447,81557,3374,1006,1392,20,165,219,321,5916,1
448,20701,4625,256,1392,20,165,310,321,4690,1
449,16544,789,256,1392,20,165,306,321,6441,1
450,87088,4619,256,1392,20,165,301,321,4739,1
451,59944,4070,1006,1392,20,165,216,321,5101,1
452,16542,4004,256,1392,20,165,286,321,3185,1
453,186316,3628,256,123,23,165,251,337,5613,15
454,111318,3624,256,1392,20,165,250,318,3113,26
455,100191,3626,256,1392,20,165,250,318,4860,26
456,86998,3315,256,1392,20,165,278,318,2581,26
457,81545,3631,256,1392,20,165,250,318,5712,26
458,16560,3625,256,1392,20,165,250,318,6210,26
459,14624,3629,256,1392,20,165,250,318,3738,26
460,64818,3630,256,1392,20,165,250,318,5273,26
461,25825,4706,1006,1392,20,165,211,318,4920,26
462,14650,105,1006,1392,20,165,212,321,4189,1
463,4783,2994,256,1392,20,165,250,318,6216,26
464,186401,4510,1006,930,23,165,853,337,6797,15
465,5621,275,68,754,6,419,642,234,2962,26
466,5600,1111,68,1833,6,456,300,234,6404,26
467,151443,269,68,754,6,419,704,234,5396,26
468,5775,3937,68,1833,6,21,636,234,4908,26
469,5616,271,68,754,6,419,635,234,6051,26
470,142974,1119,68,1833,6,414,576,234,3648,26
471,142756,900,68,1833,6,414,591,234,3118,26
472,96048,1121,68,1833,6,439,605,234,5009,26
473,5608,260,68,754,6,419,590,234,5084,26
474,5604,281,68,754,6,414,602,234,6496,26
475,5602,273,68,754,6,296,89,234,6421,26
476,96046,1117,68,1833,6,419,617,234,4363,26
477,20191,1116,68,1833,6,414,623,234,4983,26
478,5594,1118,68,1833,6,419,603,234,4613,26
479,5588,1115,68,1833,6,419,604,234,5977,26
480,194522,3938,68,1833,6,469,589,234,2448,26
481,141626,1109,68,1833,6,414,621,234,3576,26
482,139871,1110,68,1833,6,419,631,234,6494,26
483,96052,3574,68,754,6,21,804,234,5224,26
484,9920,1199,68,1833,6,80,569,234,4456,26
485,4528,268,68,754,6,251,131,234,2507,26
486,100628,3493,68,1320,6,21,749,307,6012,26
487,96273,896,68,1320,6,251,521,360,6711,26
488,7749,3005,68,1320,6,414,1002,307,6655,26
489,4702,3798,181,1320,6,238,610,307,6369,26
490,61600,3659,68,1320,6,414,578,349,5467,3
491,48931,3004,68,1320,6,251,884,307,4862,26
492,41506,1541,68,1320,6,414,578,307,6190,26
493,28641,4242,68,1320,6,414,525,349,3984,3
494,262,3008,68,2389,6,414,78,307,4473,26
495,65244,3657,68,1320,6,414,578,307,6082,26
496,56166,3194,68,1320,6,395,578,349,5187,3
497,159136,3002,68,1320,6,419,883,349,3339,3
498,102074,1799,68,1320,6,414,578,307,3760,26
499,13852,1540,68,1320,6,251,71,307,5540,26
500,11611,3007,68,1320,6,414,72,349,3214,3
501,58135,3003,68,1320,6,251,71,349,3730,3
502,15606,3006,68,1320,6,251,62,307,4702,26
503,51503,3658,68,1320,6,251,521,307,3537,26
504,40593,3655,68,1320,6,414,525,349,3991,3
505,40164,1543,68,1320,6,251,525,307,5855,26
506,29231,895,68,1320,6,414,801,360,5199,26
507,159070,1168,961,2125,23,165,303,279,2898,1
508,153797,3702,961,1400,20,165,223,318,5113,26
509,122041,3754,961,2132,23,165,1144,312,4904,1
510,119388,3027,447,1252,23,165,1060,303,5852,1
511,159084,3378,961,2014,23,165,1152,254,3498,0
512,116236,4712,961,2017,23,165,1146,312,3107,1
513,34461,2984,961,1400,20,165,306,318,5945,26
514,31753,144,961,2016,23,165,1152,312,4463,1
515,20172,2626,961,2015,23,165,1152,312,3219,1
516,159097,4334,961,2241,23,165,301,396,6340,1
517,159092,2336,961,2271,23,165,301,396,6061,1
518,110834,2197,961,1344,23,165,290,396,6258,1
519,110829,2195,961,1346,23,165,301,396,6445,1
520,61345,2196,961,1345,23,165,301,396,6381,1
521,54708,34,961,2241,23,165,290,396,2517,1
522,159101,34,961,2226,23,165,290,396,5929,1
523,110849,2198,961,1347,23,165,290,396,3736,1
524,110840,2198,961,1347,23,165,290,396,6536,1
525,74765,4334,961,2241,23,165,301,396,5573,1
526,20434,4210,961,2224,23,165,292,396,6662,1
527,159088,4209,961,2241,23,165,290,396,4918,1
528,74761,3811,961,2241,23,165,293,396,5745,1
529,66094,709,961,2167,23,165,301,396,4827,1
530,63547,2199,961,1347,23,165,290,396,4581,1
531,63545,2200,961,1347,23,165,290,396,6755,1
532,54711,4211,961,2241,23,165,290,396,3821,1
533,159107,3813,961,2222,23,165,293,396,4418,1
534,159102,1521,961,2232,23,165,293,396,2558,1
535,74755,3813,961,2241,23,165,293,396,4916,1
536,74752,1521,961,2221,23,165,293,396,3423,1
537,62236,1521,961,2262,23,165,293,396,4113,1
538,55731,592,961,2222,23,165,293,396,4985,1
539,159091,3588,961,1779,23,165,290,396,6286,1
540,62735,3699,961,2139,23,165,1145,391,6500,1
541,9617,1854,961,2222,23,165,293,396,5381,1
542,5515,3388,961,2127,23,165,271,391,4804,1
