objectID,title,artist,medium,department,culture,period,classification,imageURL
244301,"Morelia Cathedral, Michoacán, Mexico, Travel Sketch",Henry Peter Glass,"Photographic-lithograph process prints, ink, and color on paper",Architecture and Design,Austria,1986,travel sketch,"https://www.artic.edu/iiif/2/e2049ae7-19db-1f98-cf20-7b3e83320421/full/843,/0/default.jpg"
239250,"Bowen Country Club Auditorium Building, West Troy, Wisconsin, Elevation",William Ferguson Deknatel,Black and Orange pencil on linen,Architecture and Design,Walworth,09/27/1963,architectural drawing,"https://www.artic.edu/iiif/2/aca6f061-4738-9d2b-12a3-c883f5159ec6/full/843,/0/default.jpg"
209301,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/2c0beb0a-d534-c199-7740-1c23cfeaccaa/full/843,/0/default.jpg"
243325,"Chicago Public Library Competition Design, Chicago, Illinois, Entrance Elevation",Peter Bonnett Wight,Ink and wash on paper,Architecture and Design,Chicago,1891,architectural drawing,"https://www.artic.edu/iiif/2/9745feb3-07fb-8eab-208c-41f971e89426/full/843,/0/default.jpg"
213125,Nut Cracker,Ineke Hans,Anthracite,Architecture and Design,Netherlands,2008,design,"https://www.artic.edu/iiif/2/1f56b5db-1b0e-c982-ea07-8e437a11adc6/full/843,/0/default.jpg"
209363,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1940/49,photograph,"https://www.artic.edu/iiif/2/b3bb5ca0-4a01-8733-e253-857a1092a868/full/843,/0/default.jpg"
139882,"Bon Jour A Vous Note to Louis Sullivan, Sketch",Louis Julian Millet,Graphite and colored pencil on paper,Architecture and Design,United States,1921,design drawing,"https://www.artic.edu/iiif/2/89146574-0118-18c7-0b26-66a30efd0306/full/843,/0/default.jpg"
104423,"House, Perspective Rendering",Bertram A. Weber,Pencil on tracing vellum,Architecture and Design,United States,c. 1930,architectural drawing,"https://www.artic.edu/iiif/2/8cdd822f-ddb2-7d88-5966-c962201a5429/full/843,/0/default.jpg"
242728,"Exterior View of The Art Institute of Chicago, Chicago, Illinois, Travel Sketch",George Allen Hinds,Marker pen on drawing paper,Architecture and Design,,1980,travel sketch,"https://www.artic.edu/iiif/2/26c9e54b-20f2-34f9-95dc-d6bbec978da1/full/843,/0/default.jpg"
213115,Bowl and Spoon,Ineke Hans,Earthware,Architecture and Design,Netherlands,2005,design,"https://www.artic.edu/iiif/2/ce81e6c9-f43e-4f30-40c3-0b3d860fea24/full/843,/0/default.jpg"
70485,"Fantasy Projects, Sketch Designs",Eric Mendelsohn,Pencil and crayon on paper,Architecture and Design,Germany,c. 1914–1923,architectural detail,"https://www.artic.edu/iiif/2/120903b9-70c3-2441-4b93-f0a9148948d8/full/843,/0/default.jpg"
238107,Bayerische Staatsoper Blicke Küsse Bisse,Mirko Borsche,Book,Architecture and Design,,2014–2015,book,"https://www.artic.edu/iiif/2/2386d0d6-00ac-645d-6b0a-11b78323f794/full/843,/0/default.jpg"
209482,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/a0857226-c6fb-7438-b217-337f7f482fba/full/843,/0/default.jpg"
209060,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1930/39,photograph,"https://www.artic.edu/iiif/2/72c88176-d798-29ac-cb84-7b671eee02b8/full/843,/0/default.jpg"
206413,Atlas of the Conflict: Israel-Palestine,Joost Grootens,Paper,Architecture and Design,Netherlands,2010,paper,"https://www.artic.edu/iiif/2/8b658c27-3fbc-766d-915c-e2963782ec17/full/843,/0/default.jpg"
110522,"Central Railroad Station, Berlin, Germany, Perspective",Ludwig Karl Hilberseimer,Graphite on paper,Architecture and Design,Berlin,c. 1927,presentation drawing,"https://www.artic.edu/iiif/2/0220ec9c-9b7e-0c02-33e8-91297edf26d2/full/843,/0/default.jpg"
236228,"Saint Michael's Episcopal Church, Barrington, Illinois, Perspective",Edward Dupaquier Dart,Graphite on tracing paper,Architecture and Design,"Dundee Avenue, 647 South",c. 1961,presentation drawing,"https://www.artic.edu/iiif/2/ca921b42-bf6b-5cac-bda5-14606aebda5a/full/843,/0/default.jpg"
209115,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/39,photograph,"https://www.artic.edu/iiif/2/637e0737-f73c-26ce-6dde-062da3a7206a/full/843,/0/default.jpg"
201482,Passimi il Sale Tableware (Alle Cinque),Konstantin Grcic,Stainless steel,Architecture and Design,Germany,2007,design,"https://www.artic.edu/iiif/2/d816c15c-564c-06bd-6d1d-6b058f503802/full/843,/0/default.jpg"
153626,"Point West of Algiers, North Africa, Travel Sketch",Daniel Hudson Burnham,Watercolor over graphite,Architecture and Design,Algeria,1896,travel sketch,"https://www.artic.edu/iiif/2/401a0b2c-86a8-ef1d-c522-6db7954ae577/full/843,/0/default.jpg"
139831,Stencil Design,George Grant Elmslie,Blueprint on paper,Architecture and Design,Chicago,c. 1909–1917,design drawing,"https://www.artic.edu/iiif/2/3e2b206f-749d-4d83-7e8f-b824c9cbc45a/full/843,/0/default.jpg"
76086,"A Week–End Lodge in Wooded Terrain, Sketch",Ludwig Mies van der Rohe,Graphite on tablet,Architecture and Design,Chicago,1941,design sketch,"https://www.artic.edu/iiif/2/9ccc9347-7969-12bd-9f23-7fb38fe78164/full/843,/0/default.jpg"
239956,"Rookery Building, Chicago, Illinois, Elevation and Section",Burnham and Root,Multicolored hectograph prints on heavy paper or black and colored inks and wash on heavy paper,Architecture and Design,"LaSalle Street, 209 South",1885–1887,architectural drawing,"https://www.artic.edu/iiif/2/f5857f9f-780e-7597-a6d5-f86742068ee7/full/843,/0/default.jpg"
209468,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/29,photograph,"https://www.artic.edu/iiif/2/c175e862-7a62-4681-8911-e352e1472dc2/full/843,/0/default.jpg"
209426,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/29,photograph,"https://www.artic.edu/iiif/2/21243631-b2e6-712f-4377-618f8d03dd31/full/843,/0/default.jpg"
209375,"Untitled (Carol Nelson, Jennette Smith, Linda Glislewell)",Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/29,photograph,"https://www.artic.edu/iiif/2/ea329787-fde0-9122-8080-1808333ae581/full/843,/0/default.jpg"
209086,"Untitled ([Hol]b[ro]ok [Bloclin] H[am]ilton, At Deoilis tea kettel)",Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/2b0a541c-daa8-4493-419f-d3c7500d7113/full/843,/0/default.jpg"
248743,"Memorial Design Study with Reflection Pool, Perspective",Franz Lipp,Graphite and gouache on tracing paper,Architecture and Design,United States,N.d.,architectural drawing,"https://www.artic.edu/iiif/2/ca213503-d883-a1b4-79bc-d554ee499949/full/843,/0/default.jpg"
236682,"Hanley Dawson Sales Facility Remodeling Proposal, Chicago, Illinois, Perspective",Victor L. Charn & Associates,Gouache on illustration board,Architecture and Design,Chicago,c. 1989,presentation drawing,"https://www.artic.edu/iiif/2/1467836a-b68d-a6ab-4abe-6909ac440231/full/843,/0/default.jpg"
200805,H2O Waste Paper Bin,Konstantin Grcic,Polypropylene,Architecture and Design,Germany,1994,design,"https://www.artic.edu/iiif/2/5cf6ccea-73e6-bf60-c41a-ec5dd5376629/full/843,/0/default.jpg"
139936,"Stencil Design, Edge",George Grant Elmslie,Blueprint on paper,Architecture and Design,Chicago,c. 1909–1917,design drawing,"https://www.artic.edu/iiif/2/12861ae1-6f7d-70ec-2f43-8f0bde29813c/full/843,/0/default.jpg"
103969,"Apartment Building, Volkswohnhausanlage der Gemeinde, Vienna, Austria, Elevations",Josef Hoffmann,Blackline print,Architecture and Design,Vienna,20th cen.,architectural drawing,"https://www.artic.edu/iiif/2/80c68452-14bd-2a62-9ea4-f59cd0d32287/full/843,/0/default.jpg"
248324,"Place DuSable Southeast View from W. Washington and N. Jefferson Streets, Chicago, Illinois, Presentation Drawing",C. F. Murphy Associates,Ink and casein on illustration board,Architecture and Design,Chicago,1971,presentation drawing,"https://www.artic.edu/iiif/2/828a7fe6-e67e-4d81-7417-13ef23494236/full/843,/0/default.jpg"
209114,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/1cd0cfec-70fc-40d7-afef-81f7022e1f00/full/843,/0/default.jpg"
145599,"C.T. Atkinson House, Lake Forest, Illinois, Gate Design",Howard Van Doren Shaw,Blueprint on paper,Architecture and Design,Lake Forest,c. 1920s,design drawing,"https://www.artic.edu/iiif/2/f1b46ff5-b405-68a3-95f7-d1d63a7849b4/full/843,/0/default.jpg"
107357,"Lambert H. Ennis House, Evanston, Illinois, Window Details and Kitchen Wall Section",William Ferguson Deknatel,Graphite on tracing paper,Architecture and Design,Evanston,1941,working drawing,"https://www.artic.edu/iiif/2/8a5c3f7e-5d0d-0e64-57f6-e4f5afef3901/full/843,/0/default.jpg"
250418,"Monastic Chapel, Student Drawing, Plan and Elevations","Joseph Palma, Jr.","Graphite, ink, ink wash, and watercolor on heavy paper",Architecture and Design,Chicago,c. 1930,architectural drawing,"https://www.artic.edu/iiif/2/78022f24-09d4-e797-e8bf-69acb6b11d00/full/843,/0/default.jpg"
244924,"Court of the Myrtle, Alhambra, Grenada, Spain, Travel Sketch",George Washington Maher,Ink on paper,Architecture and Design,Granada province,c. 1889,travel sketch,"https://www.artic.edu/iiif/2/fd8e7d8f-1398-0fe5-66a4-d74ba334987b/full/843,/0/default.jpg"
209427,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/29,photograph,"https://www.artic.edu/iiif/2/2ace8fd0-8efa-62f8-7f2b-0e137fe5c662/full/843,/0/default.jpg"
